Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
07-07-2015,289,36,33,239.554,30,0,2,1,4
14-07-2015,118,13,50,239.554,31,0,1,0,0
15-07-2015,179,51,38,239.554,31,0,0,0,2
16-07-2015,279,5,39,239.554,24,0,2,0,4
23-07-2015,289,36,33,239.554,30,0,2,1,2
10-07-2015,179,51,38,239.554,31,0,0,0,2
17-07-2015,361,52,28,239.554,27,0,1,4,8
24-07-2015,260,50,36,239.554,23,0,4,0,4
06-07-2015,155,12,34,239.554,25,0,2,0,40
13-07-2015,235,11,37,239.554,29,1,1,1,8
20-07-2015,260,50,36,239.554,23,0,4,0,8
14-07-2015,260,50,36,239.554,23,0,4,0,8
15-07-2015,260,50,36,239.554,23,0,4,0,8
15-07-2015,179,51,38,239.554,31,0,0,0,1
15-07-2015,179,51,38,239.554,31,0,0,0,4
17-07-2015,246,25,41,239.554,23,0,0,0,8
17-07-2015,179,51,38,239.554,31,0,0,0,2
27-07-2015,179,51,38,239.554,31,0,0,0,8
30-07-2015,189,29,33,239.554,25,0,2,2,8
05-08-2015,248,25,47,205.917,32,0,2,1,2
12-08-2015,330,16,28,205.917,25,1,0,0,8
03-08-2015,179,51,38,205.917,31,0,0,0,1
10-08-2015,361,52,28,205.917,27,0,1,4,40
14-08-2015,260,50,36,205.917,23,0,4,0,4
17-08-2015,289,36,33,205.917,30,0,2,1,8
24-08-2015,361,52,28,205.917,27,0,1,4,7
04-08-2015,289,36,33,205.917,30,0,2,1,1
12-08-2015,157,27,29,205.917,22,0,0,0,4
19-08-2015,289,36,33,205.917,30,0,2,1,8
28-08-2015,179,51,38,205.917,31,0,0,0,2
17-08-2015,179,51,38,205.917,31,0,0,0,8
27-08-2015,235,29,48,205.917,33,0,1,5,8
27-08-2015,235,11,37,205.917,29,1,1,1,4
17-08-2015,235,29,48,205.917,33,0,1,5,8
17-08-2015,179,51,38,205.917,31,0,0,0,2
17-08-2015,361,52,28,205.917,27,0,1,4,1
04-08-2015,289,36,33,205.917,30,0,2,1,8
20-08-2015,291,50,32,205.917,23,0,0,0,4
21-08-2015,235,29,48,205.917,33,0,1,5,8
28-08-2015,260,50,36,205.917,23,0,4,0,4
01-09-2015,184,42,27,241.476,21,0,0,0,2
07-09-2015,118,10,37,241.476,28,0,0,0,4
